Date,Author,Text,Label
10/11/2021 10:23,rahmifitria,"@VIVAcoid Hah kemaren beri apresiasi ke pinjol, lah sekarang bilang gerah. Muntah saya lagi lah",netral
10/11/2021 10:23,Klentingkuniing,"Presiden @jokowi ingatkan OJK, banyak pinjol dengan bunga yang besar. https://t.co/2Ay5UivPw7",netral
10/11/2021 10:22,mainterusss,"@PartaiSocmed Pinjol illegal ini gampang klo mau ditekan penyebarannya karena jelas mereka tidak leluasa mempromosikan produknya, minimal database no hp tiap2 provider dijamin kerahasiannya aja, yakin dah susah berkembang tuh pinjol illegal, ini mah kgk saban hari dpt aja broadcastan ampun dah",netral
10/11/2021 10:22,bidadarikocakkk,Wong wongan sek bendinane ngremehke gaweanne wong liyo ki ketoke durung tau di sleding pinjol.,netral
10/11/2021 10:21,Indrijulian_,@susipudjiastuti tau tuh si pinjol membahayakan. bisa-bisanya data NIK jg kebobol. aneh aneh,netral
10/11/2021 10:21,MariaTrihartati,"@jokowi Bapak Presiden, pinjol seperti rentenir. Mengapa mereka diijinkan beroperasi dengan ketentuan yg merugikan masyarakat. Tolong ditarik ijin pinjol yg tidak masuk akal, biar tdk bnyk rakyat menjadi korban.",negatif
10/11/2021 10:21,Rinira12,"Presiden Jokowi Ingatkan OJK, Banyak Masyarakat Terjerat Penipuan &amp; Bunga Tinggi Pinjol Laknat https://t.co/SO7Pt0L94l",netral
10/11/2021 10:21,SopoJar6wo,"Banyak Masyarakat Terjerat Bunga Tinggi Pinjol, Ini Perintah Jokowi ke OJK
https://t.co/erYtCLATUo",negatif
10/11/2021 10:21,elokwekey,Nah tuh iqrooooo pinjol,netral
10/11/2021 10:20,rizkyadinduy,"?? DICARI ?? — informan untuk berbagi cerita seputar pinjol, dengan syarat seperti yang tertera pada gambar.

tolong bantu sebarkan dengan Like/Retweet ya! ??

terima kasih~

cc: @EfanSteph https://t.co/GxM0vcnkgB",negatif
10/11/2021 10:20,SopoJar6wo,"@susipudjiastuti Yo salah sendiri kenapa bisa terjerat hutang pinjol,seharusnya sesulit apapun hidup jangan sampai terjebak ke pinjol karena bunganya tinggi,pinjamnya 1 juta cairnya 800 ribu,total pinjaman plus bunga yg harus dibayar jd 1,4 juta",netral
10/11/2021 10:20,ed_tirta,@fokus_satu Pinjol salah sapa  sampe menjamur ?,negatif
10/11/2021 10:20,MariaTrihartati,@jokowi Rasanya yg perlu dicermati ato kalo perlu direvisi adalah aturan yg memperbolehkan orang/lembaga nonbank melakukan transaksi keuangan (khususnya Pinjol). Sebab ditataran operasional hal ini banyak mudharatnya dibanding manfaatnya. Bahkan ada yg bunuh diri akibat Pinjol.,positif
10/11/2021 10:19,pemburu__tikus,"@VIVAcoid Kmrn bangga2in dah ngasih modal buat pinjol, skrg malah gerah apa fee nya kurang..",negatif
10/11/2021 10:18,sotongcabeijo,"?? DICARI ?? — informan untuk berbagi cerita seputar pinjol, dengan syarat seperti yang tertera pada gambar.

tolong bantu sebarkan dengan Like/Retweet ya! ??

terima kasih~

cc: @EfanSteph https://t.co/GxM0vcnkgB",positif
10/11/2021 10:18,FarahNathan24,"Presiden @jokowi menyoroti maraknya kasus pinjaman online (pinjol) yang menjerat masyarakat ekonomi kelas bawah.

Ia mengaku banyak mendengar kabar tentang penipuan hingga tingginya bunga yang dibebankan pihak pinjol ke peminjamnya. https://t.co/sYeIFvrlS3",negatif
10/11/2021 10:17,1_shieldNKRI,"@SHALATaddict @UmarHadii1 @Kuri09964464 @tjahjo_kumolo @veraagustian_ @marsianus1803 @Bengkeltanah201 @_agnezz @RstmBcl @WongFekok @Pencerah__ @Irwan2yah @seruanhl @Pakde_yan @RaniKancana_ @Aryprasetyo85 @johnhendrik3 @heni_nuraeni123 @EllyKoro @Wan9Wong2134 Apa sangkut paut ama pinjol NYET ???
Emang nya APBN dari pinjol ?? ????????",positif
10/11/2021 10:17,kompascom,"Jokowi mengatakan, maraknya pinjaman online terjadi seiring dengan berkembangnya inovasi di bidang financial technology (fintech). / #Nasional 
 https://t.co/FpIw8sPjKr",negatif
10/11/2021 10:16,korbanpatriarki,"?? DICARI ?? — informan untuk berbagi cerita seputar pinjol, dengan syarat seperti yang tertera pada gambar.

tolong bantu sebarkan dengan Like/Retweet ya! ??

terima kasih~

cc: @EfanSteph https://t.co/GxM0vcnkgB",positif
10/11/2021 10:16,Husaini_Yusuff,"Hanya OJK saja tidak bisa, sebab banyak pinjol ilegal yg diluar kewenangan OJK. Perlu koordinasi antara Polri-OJK-Kemkominfo 

 https://t.co/sUvJgEYc4Z",negatif
10/11/2021 10:16,aneridwan,"Banyak Masyarakat Terjerat Bunga Tinggi Pinjol, Ini Perintah Jokowi ke OJK

Klik untuk baca: https://t.co/ZtUFHhPD0m",positif
10/11/2021 10:15,aniniyu,"Modal 10 ribu di jual nya 4 ribu..gimana ngak banyak hutang ente ke pinjol 
Wong cara dagang kau aja GOBLOK

GOBLOK dan TOLOL kau @jokowi",negatif
10/11/2021 10:14,ardana333,"Hanya OJK saja tidak bisa, sebab banyak pinjol ilegal yg diluar kewenangan OJK. Perlu koordinasi antara Polri-OJK-Kemkominfo 

 https://t.co/sUvJgEYc4Z",positif
10/11/2021 10:14,myalfian88,"Hidupku rusak d bodoi pinjol
Asu bangsat",negatif
10/11/2021 10:12,DivaCatrii,"Menurut Presiden @jokowi peran Digitalisasi perbankan harus semakin cepat. 
Bkn itu saja kemudahan nasabah juga harus di prioritaskan terutama bagi masyarakat yg jauh dari jangkauan. 
Dan Yang tidak kalah pentingnya OJK harus lebih hati2 banyak masyarakat yg tertipu PINJOL https://t.co/NhYqpXAnIi",negatif
10/11/2021 10:12,vivivivere2,"@susipudjiastuti Baru beberapa hari yang lalu bangga banget dengan Aliran Kredit Pinjol yang tinggi. Sekarang komentarnya begini... 
Always paradox ?? https://t.co/wJBujhz0ni",negatif
10/11/2021 10:11,AkhidRahardja,"mumet pora pinjol, hbs dibanggain skrg ???",negatif
10/11/2021 10:11,PartaiSocmed,"Hanya OJK saja tidak bisa, sebab banyak pinjol ilegal yg diluar kewenangan OJK. Perlu koordinasi antara Polri-OJK-Kemkominfo 

 https://t.co/sUvJgEYc4Z",negatif
10/20/2021 2:21,Anas Ismail,"b'Locked. Buat bukti nanti sebagai laporan ke polsek2 terdekat, maupun polres terdekat \xf0\x9f\xa4\xad\xf0\x9f\xa4\xad https://t.co/bZTa7Tn3L5'",negatif
10/20/2021 2:15,MAK SENGKRING💦,b'@pinjollaknat Ya kalo dah disebar data dan difitnah pemerintah dan polisi emang bisa ngasih perlindungan???',negatif
10/20/2021 2:15,erestede,b'@pinjollaknat @Outstandjing salah satu tips agar pemangku kewenangan lebih perhatian',positive
10/20/2021 2:08,Coach Adam Velcro 👍😎,b'@pinjollaknat Kadang org yg gada hubungan dengan peminjam tp ada di phonebook peminjam bisa kena teror jg \xf0\x9f\x98\x93',negative
