Date,Author,Text
10/12/2021 3:27,AinTie,b'RT @NadinHang: Keberadaan jasa pinjaman online (pinjol) saat ini sudah mulai meresahkan. Untuk itu Presiden Jokowi memberi pesan khusus kep\xe2\x80\xa6'
10/12/2021 3:27,FIRASAT🌙,b'RT @pinjollaknat: Akhirnya setelah sekian lama pinjol di notice pak presiden juga. \xf0\x9f\x99\x82 https://t.co/VnraCflJDy'
10/12/2021 3:27,MARHAENISME,"b'RT @susipudjiastuti: Banyak Masyarakat Terjerat Bunga Tinggi Pinjol, Ini Perintah Jokowi ke OJK\rhttps://t.co/erYtCLATUo'"
10/12/2021 3:26,Kembali berkebun,b'RT @yosnggarang: Rakyat terjerat banyak utang pinjam online dgn bunga tinggi.\n\nNegara secara sadar minjam utang dgn bunga lebih tinggi dari\xe2\x80\xa6'
10/12/2021 3:26,budhiR,"b'RT @mojokdotco: Sampai saat ini belum ada solusi konkret dari pemerintah untuk memerangi pinjol laknat. \n\nBaru-baru ini, muncul ide sederha\xe2\x80\xa6'"
10/14/2021 4:05,kumparan,"""Arahan Kapolri kan sudah jelas kalau ada pelanggaran pidananya ya harus ditindak,"" kata Dofiri. #kumparanNews https://t.co/rzd0TlK0HC"
10/14/2021 4:05,satyaimam5,@HumasPolresTem1 Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi
10/14/2021 4:04,ayu_metrin,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/upkx4qlnOV
10/14/2021 4:04,kopinagih,"Dlm hal ini, pihak kepolisian hrs bisa menindak tegas kpd para investor dari pinjaman online ilegal yg kerap melakukan aksi teror  Ini masalah krusial dan meresahkan, mampu membuat psikis terganggu  - Terus mendengar aspirasi rakyat - #DPRuntukNegeri  https://t.co/brzNYYZcYp"
10/14/2021 4:04,kopinagih,"Akhir2 ini bermunculan berbagai macam pinjol, bahkan ada yg ilegal. Dan cara penagihannya pun tidak memiliki sopan santun  Kalo sudah spt ini, sebaiknya jajaran Polri dan OJK hrs merespon aduan2 masyarakat yg dirugikan  - Terus mendengar aspirasi rakyat - #DPRuntukNegeri https://t.co/g6zumJ9Axs"
10/14/2021 4:04,reymonsbaba,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/LX4BmJpNkn
10/14/2021 4:04,cuma_dagang,"RT @VIVAcoid: Polisi Gerebek Kantor Pinjol di Ruko Cengkareng, 56 Orang Diciduk https://t.co/OqtgNJO4oz"
10/14/2021 4:04,WajahPribumiii,"RT @_Nayanika27_: Wakil Ketua DPR RI Sufmi Dasco, meminta pihak Polri dan OJK untuk menindak tegas maraknya penipuan Pinjol ilegal yg sudahâ€¦"
10/14/2021 4:04,KabarSiang,Meresahkan Warga; Pemerintah Diminta Segera Hapus Aplikasi Pinjol Ilegal https://t.co/NrEcUDTbqj
10/14/2021 4:04,ImanSelalu96,RT @Urrangawak: Puluhan penagih Pinjol digerebek saat beraksi di meja kerja di daerah Jakarta Barat.. https://t.co/tdHmaUetCh
10/14/2021 4:04,sutartinbecik,"RT @PolsekPagu: ""Kejahatan pinjol ilegal sngat mrugikan masy shg prlu pnanganan khsus. Lakukan upaya pmberantasan dgn preemtif, preventif &amp;â€¦"
10/14/2021 4:04,Wan_s79,"RT @PolsekPagu: ""Kejahatan pinjol ilegal sngat mrugikan masy shg prlu pnanganan khsus. Lakukan upaya pmberantasan dgn preemtif, preventif &amp;â€¦"
10/14/2021 4:04,SetianiiIndri,Kapolri Jenderal Listyo Sigit Prabowo menginstruksikan seluruh jajaran kepolisian untuk menindak tegas pinjaman online (pinjol) ilegal.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/uq5dWbBrYe
10/14/2021 4:04,HUMAS_BACIP,Bareskrim Polri telah menangani perkara pinjaman online (pinjol) ilegal sebanyak 370 kasus dalam periode kurun waktu 2020-2021.  #SiapMenujuEndemi Edukasi Prokes Presisi https://t.co/A4LVQDiuGb
10/14/2021 4:04,sakjane_,RT @pinjollaknat: Penggrebekan kantor pinjol pada hari Rabu 13/10/2021 di Jakarta Barat. â›” https://t.co/ub77h8xOFz
10/14/2021 4:04,WajahPribumiii,RT @KelianBanjar_GK: #DPRuntukNegeri meminta jajaran Polri &amp; OJK menindak tegas maraknya penipuan pinjol ilegal yg sdh meresahkan masyarakaâ€¦
10/14/2021 4:04,Opposite_6890,"AYOOO ANAKÂ˛â€Ľď¸Ź KITA BELAJAR KOSA KATA YANG TEPAT, TOLONG INI SEBUTKAN INI APAâ�‰ď¸Ź ""se ekor ANJING bu guru..â€Ľď¸Ź"" ""Kurang tepat..â�‰ď¸Ź"" ""Anjing Polisi bu GURUâ€Ľď¸Ź"" ""POLISI Anjing bu GURUâ€Ľď¸Ź""  ""YA PINTER murid ibu, besok hadiah spedanya tak anterin ke rumah kalian, bayarnya pake pinjolâ€Ľď¸Źđź�€đź¤­"" https://t.co/cfd8pPXZt1"
